"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype","Mounting"
"35c8e2da-e4fb-4786-8c63-6dca5964131f","","","","","IC,MEMORY,PARALLEL,FLASH,AT42QT1070","","AT42QT1070","R711","","","","","","AT42QT1070","","MEMORY,PARALLEL,FLASH",""
"87399758-4e8a-45b1-a0cc-3799895c5682","","","","","IC,MAX809LEUR","","MAX809LEUR","R712","","","","","","MAX809LEUR","","",""
"5b8e929c-3055-4a3e-990e-05a166043979","","","","","IC,GP2S+","MINI CIRCUITS","GP2S+","R715","","","","","","GP2S+","","",""
"b32a75c8-9857-463b-9298-cc3ed150777d","","","","","IC,MAX3421","","MAX3421","R719","","","","","","MAX3421","","",""
"cf289b56-9766-4a11-a9ec-964fd33ff203","","","","","IC,BU2505FV-E2CT","","BU2505FV-E2CT","R720","","","","","","BU2505FV-E2CT","","",""
"2160b3d0-0095-4d1f-9f7d-508b35a1524d","","","","","IC,MB510PF","FUJITSU","MB510PF","R721","","","","","","MB510PF","","",""
"43a60d35-579a-491b-af0d-6394a9db83d7","","","","","IC,LT1058SW","","LT1058SW","R722","","","","","","LT1058SW","","",""
"880759da-0c54-4ee5-8807-efae2cf4ed6d","","","","","IC,AD5680BRJZ-REEL7,SMD","","AD5680BRJZ-REEL7","R723","","","","","","AD5680BRJZ-REEL7","","","SMD"
"7554b0f8-a740-4a77-9e1a-c49ffa5f0bc2","","","","","IC,PACSZ1284-02QR","","PACSZ1284-02QR","R724","","","","","","PACSZ1284-02QR","","",""
"b01cc673-85cf-44e1-ae85-20b3b16cfa16","","","","","IC,HMC5883L","HONEYWELL","HMC5883L","R726","","","","","","HMC5883L","","",""
"f717fb9f-be19-48d2-bda7-728b0f534acf","","","","","IC,LM555,SO8","","LM555","R588","","","","","","LM555","SO8","",""
"659c4733-e4dc-4ab9-b8a9-69b2a919f256","","","","","IC,CY62256-55,SO28,SMD","","CY62256-55","R595","","","","","","CY62256-55","SO28","","SMD"
"43a94432-cc47-4872-ba0b-d11f18e144e9","","","","","IC,ADUM2250","","ADUM2250","R599","","","","","","ADUM2250","","",""
"0ab2051e-6f62-45e0-82ad-fce8627d42ea","","","","","IC,PR36MF22","","PR36MF22","R585","","","","","","PR36MF22","","",""
"0dc8bcc3-dd13-4eed-832b-14f6027a778f","","","","","IC,LM324,SO14","","LM324","R583","","","","","","LM324","SO14","",""
"ee103b98-25f3-42ab-b501-063858456fd0","","","","","IC,LT1085CM-3.3,D2PAK","","LT1085CM-3.3","R597","","","","","","LT1085CM-3.3","D2PAK","",""
"54455b6d-3d1c-4c4b-b4c1-20837beeba8c","","","","","IC,74LVC4245,SO,SMD","","74LVC4245","R578","","","","","","74LVC4245","SO","","SMD"
"40687fd8-c461-4088-b9fc-97a845440f49","","","","","IC,INA196AI,SOT","","INA196AI","R581","","","","","","INA196AI","SOT","",""
"eb9dad48-e335-4024-9ad7-05d4b6eaffb0","","","","","IC,MX7226,SO","MAXIM","MX7226","R587","","","","","","MX7226","SO","",""
"5bceec71-a7ef-4e08-859e-a51a8983b682","","","","","IC,TUSB3410","","TUSB3410","R580","","","","","","TUSB3410","","",""
"fd8eb6df-8dec-4deb-b34e-111c91fb5a1e","","","","","IC,LM4040D20","","LM4040D20","R584","","","","","","LM4040D20","","",""
"7ee16f65-4f4b-4226-a204-8c6f9e8b5d39","","","","","IC,MAX1619,SSOP","","MAX1619","R602","","","","","","MAX1619","SSOP","",""
"4616aa83-0c84-4a8f-85ef-4c94303e9f89","","","","","IC,USB2514B","","USB2514B","R577","","","","","","USB2514B","","",""
"6bdae3f4-9056-49dd-b350-347c91cb1bc2","","","","","IC,ADC121S021","","ADC121S021","R593","","","","","","ADC121S021","","",""
"6dac3363-7e61-4172-84d4-e5ddcd781b6d","","","","","IC,LM339,SO14","","LM339","R607","","","","","","LM339","SO14","",""
"ffe278b6-70ad-4e55-a0a5-ad874de255d1","","","","","IC,74HC148,SO16,SMD","FAIRCHILD","74HC148","R554","","","","","","74HC148","SO16","","SMD"
