"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Resistance","Tempco","Voltage","RESType","Supplier","Supplier PartNo","Tolerance","Wattage","Location"
246,,,,,,"BOURNS","3262X-1-502","3262",,"5K",,,"TRIMMER-MT",,,,,"A0111, A112, A0113, A0115, A0117, A0120, A0121, A0118, A0114, A0122"
247,,,,,,,"3323","500R",,"500R",,,"TRIMMER-ST",,,,,"A0061"
248,,,,,,"BAOTER","3296W-202","3296",,"2K",,,"TRIMMER-MT",,,,,"A0123"
249,,,,,,,"3296W-503","3296",,"50K",,,"TRIMMER-MT",,,,,"A0124"
250,,,,,,,"3296W-203","3296",,"20K",,,"TRIMMER-MT",,,,,"A0125"
251,,,,,,,"3296W-103","3296",,"10K",,,"TRIMMER-MT",,,,,"A0126"
252,"RES, CHASSIS MOUNT, 0R1, 1%, 10W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"DALE","RH-10 0R1",,,"0R1",,,,,,"1%","10W","A0101"
253,"RES, CHASSIS MOUNT, 10R, 5%, 25W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"ATE ELECTRONICS","RB25",,,"10R",,,,,,"5%","25W","A0102"
254,"RES, TH, 5R7, 5%, 5W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"VITROHM","KH208-8",,,"4R7",,,,,,"5%","5W","A0103"
255,"RES, TH, 0R47, 10%, 5W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"VISHAY",,,,"0R47",,,,,,"10%","5W","A0105"
256,"RES. TH, 47R, 5%, 3W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"VISHAY",,,,"47R",,,,,,"5%","3W","A0107"
257,"RES, TH, 2R2, 10%, 3W, WIREWOUND","RESWW",".\SCHLIB\PASSIVES.SCHLIB",,,"VISHAY",,,,"2R2",,,,,,"10%","3W","A0108"
258,"RES, TH, 47R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"47R",,,"CARBON","JAMECO",,"5%","1/4W","A0197"
259,"RES, TH, 1K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"1K",,,"CARBON","JAMECO",,"5%","1/4W","A0213"
260,"RES, TH, 100K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"100K",,,"CARBON","JAMECO",,"5%","1/4W","A0248"
261,"RES, TH, 5K1, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"5K1",,,"CARBON","JAMECO",,"5%","1/4W","A0236"
262,"RES, TH, 4K7, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"4K7",,,"CARBON","JAMECO",,"5%","1/4W","A0221"
263,"RES, TH, 680R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"680R",,,"CARBON","JAMECO",,"5%","1/4W","A0184"
264,"RES, TH, 470R, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"470R",,,"CARBON","JAMECO",,"5%","1/4W","A0254"
265,"RES, TH, 2K7, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"2K7",,,"CARBON","JAMECO",,"5%","1/4W","A0227"
266,"RES, TH, 10K, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"10K",,,"CARBON","JAMECO",,"5%","1/4W","A0214"
267,"RES, TH, 1M, 5%, 1/4W, CARBON FILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"1M",,,"CARBON","JAMECO",,"5%","1/4W","A0240"
268,"RES,TH,22K,5%,1/4W,CARBONFILM","RES",".\SCHLIB\PASSIVES.SCHLIB","RESTH025",,"JAMEPRO",,"RTH1/4W",,"22K",,,"CARBON","JAMECO",,"5%","1/4W","A0250"
